species,number_insertion,number_deletion,number_gap,avg_gap_len,min_gap_len,max_gap_len,Genera,numb_gap_len
Mouse,25067,30165,357149,9.711205373,1,567,Mus musculus,36777
Rat,48601,119929,423379,11.24811371,1,1664,Rattus norvegicus,37640
Chimpanzee,32083,175589,456638,14.74786035,1,784,Pan troglodytes,30936
Human,16907,20465,316690,10.55703714,1,534,Homo sapiens,29998
Gorilla,90145,220987,438990,15.18366076,1,1082, Gorilla gorilla gorilla,28912
Macaque,31389,191131,480478,15.31892237,1,966,Macaca fascicularis,31365
Murinae,22767,17246,352125,9.396013449,1,567,Murinae,37476
Hominini,3684,8668,313132,10.45236665,1,567,Hominini,29958
Homininae,19229,6641,308148,10.28359753,1,567,Homininae,29965
Catarrhini,67700,30864,320782,10.41804423,1,567,Catarrhini,30791
Euarchontoglires,588482,0,357572,9.377461908,1,567,Euarchontoglires,38131
