,OMA_group,aln_len,total_gap_count,msa_gap_count,asr_gap_count,min_gap_count,spc_wmin_gap_count,max_gap_count,spc_wmax_gap_count,gap_ratio,num_gappy_sites,avg_gap_len,median_gap_len,mode_gap_len,min_gap_len,spc_wmin_gap_len,max_gap_len,spc_wmax_gap_len,num_ins,num_del,indel_ratio,is_gappy,mu,lambda,loglikelihood,intensity,expected_len,tree_len,per_indel_div
6,1014056,504,140,70,70,0,Gorilla,14,Mus,0.025252525,14,14.0,14.0,14,0,Gorilla,14,Mus,14,0,0.0,1,0.551295,245.854,-4601.67,445.9572461,135.5380809,0.23907,2.525252525
11,813352,230,80,42,38,3,Rattus,8,Pan,0.031620553,11,3.80952381,4.0,4,3,Mus,4,Mus,11,4,0.363636364,1,0.0385163,8.56304,-1961.5,222.3224972,0.3298166,0.85231,3.162055336
16,968968,1433,74,41,33,5,Rattus,8,Mus,0.004694538,14,2.242424242,3.0,1,1,Mus,4,Mus,14,8,0.571428571,1,0.0293014,41.507,-13696.2,1416.553475,1.2162132,0.36307,0.469453784
21,809906,651,794,562,232,32,Gorilla,177,Pan,0.110878369,217,49.625,32.0,32,1,Mus,177,Pan,217,330,1.520737327,1,2.54498,1036.83,-7659.41,407.4020228,2638.711613,0.25257,11.08783689
26,312389,1053,8,5,3,0,Pan,3,Mus,0.000690667,3,1.142857143,1.0,1,0,Pan,2,Mus,3,2,0.666666667,1,0.131449,135.378,-8832.9,1029.889919,17.7953027,0.1609,0.069066736
27,312397,1181,13,7,6,0,Pan,3,Mus,0.001000693,4,1.444444444,1.0,1,0,Pan,2,Mus,4,1,0.25,1,0.0123491,14.5202,-9478.64,1175.810383,0.1793114,0.27624,0.100069279
28,312409,1403,2380,1200,1180,23,Rattus,279,root,0.154214994,299,16.08108108,2.0,1,1,Mus,160,Pan,299,20,0.066889632,1,0.3261,375.133,-11220.2,1150.361852,122.3308713,0.70489,15.42149938
29,785713,420,300,158,142,11,Mus,37,root,0.064935065,53,5.084745763,4.0,1,1,Mus,15,Rattus,53,16,0.301886792,1,0.39901,144.726,-3535.33,362.712714,57.7471213,0.40346,6.493506494
32,946253,238,519,267,252,25,Rattus,57,root,0.198242934,72,7.109589041,9.0,2,1,Pan,22,Mus,72,15,0.208333333,1,0.322994,54.9886,-2032.93,170.2465061,17.7609879,1.34655,19.82429335
33,946254,230,11,8,3,0,Mus,4,Rattus,0.004347826,5,1.375,1.0,1,0,Mus,4,Rattus,5,5,1.0,1,0.221023,47.7826,-2079.34,216.1883605,10.5610536,0.2843,0.434782609
34,946257,390,6,4,2,0,Pan,3,Rattus,0.001398601,3,1.2,1.0,1,0,Pan,2,Rattus,3,2,0.666666667,1,0.0125768,4.87534,-2830.2,387.645506,0.0613162,0.35018,0.13986014
37,988081,210,57,31,26,0,Pan,13,Mus,0.024675325,18,4.384615385,3.0,1,0,Pan,9,Mus,18,5,0.277777778,1,0.0753925,14.5307,-1740.72,192.7340253,1.0955058,1.1869,2.467532468
39,726404,340,4,2,2,0,Pan,1,Mus,0.001069519,1,1.0,1.0,1,0,Pan,1,Mus,1,0,0.0,1,0.005993,2.03421,-2693.27,339.4310028,0.012191,0.28678,0.106951872
42,1027823,386,235,128,107,10,Macaca,29,Homo,0.055346208,31,4.519230769,4.0,4,1,Pan,15,Mus,31,21,0.677419355,1,3.59744,970.704,-3823.36,269.8318804,3492.049398,0.12641,5.53462082
43,1027845,898,896,809,87,11,Homo,211,Pan,0.090706621,212,18.66666667,2.0,2,1,Mus,152,Rattus,212,722,3.405660377,1,12.8943,1377.41,-12594.5,106.8231699,17760.73776,0.05202,9.070662077
55,743841,621,293,166,127,22,Pan,39,Rattus,0.042892695,61,6.813953488,2.0,1,1,Rattus,20,Rattus,61,39,0.639344262,1,3.42082,1394.76,-4561.24,407.7268023,4771.222903,0.09698,4.289269507
58,978394,1040,572,465,107,21,Pan,358,Gorilla,0.05,379,16.34285714,1.0,1,1,Mus,337,Gorilla,379,358,0.944591029,1,0.815608,674.055,-10515.8,826.4448117,549.7646504,0.33257,5.0
59,978397,1428,193,101,92,10,Macaca,19,Mus,0.012286733,28,5.216216216,3.0,1,1,Mus,14,Mus,28,9,0.321428571,1,1.58032,1436.37,-13604.4,908.9108535,2269.924238,0.0859,1.228673287
