,OMA_group,aln_len,total_gap_count,msa_gap_count,asr_gap_count,min_gap_count,spc_wmin_gap_count,max_gap_count,spc_wmax_gap_count,gap_ratio,num_gappy_sites,avg_gap_len,median_gap_len,mode_gap_len,min_gap_len,spc_wmin_gap_len,max_gap_len,spc_wmax_gap_len,num_ins,num_del,indel_ratio,is_gappy,mu,lambda,loglikelihood,intensity,expected_len,tree_len
0,301559,296,302,177,125,24,Gorilla,43,Rattus,0.0927518427518427,43,15.1,18.0,18,7,Mus,43,Rattus,43,52,1.2093023255813953,1,59.4296,1415.15,-3240.81,23.8122081,84101.79844,0.01269
1,302161,1078,1747,981,766,115,Homo,241,Macaca,0.1473266992747512,272,38.82222222222222,32.0,50,1,Gorilla,159,Pan,272,215,0.7904411764705882,1,13.9408,1340.84,-11874.3,96.1809939,18692.382272,0.04878
2,807362,1093,13,7,6,0,Pan,4,Rattus,0.0010812609165765,4,1.0,1.0,1,0,Pan,1,Mus,4,1,0.25,1,0.0110012,11.9889,-9442.28,1089.7811148,0.1318923,0.17093
3,807365,638,8,4,4,0,Pan,2,Mus,0.0011399259048161,2,1.0,1.0,1,0,Pan,1,Mus,2,0,0.0,1,0.0742451,47.1929,-3738.94,635.6365605,3.5038416,0.0337
4,807370,510,983,499,484,57,Mus,115,root,0.175222816399287,130,44.68181818181818,46.0,46,11,Mus,73,Gorilla,130,15,0.1153846153846153,1,1.58568,543.505,-4404.47,342.7583119,861.8250084,0.33634
5,807372,1237,286,192,94,16,V9,58,Pan,0.021018593371059,83,5.72,1.0,1,1,Mus,44,Pan,83,98,1.180722891566265,1,1.29651,1267.83,-13000.2,977.8790754,1643.7542733,0.1477
6,1014056,504,140,70,70,0,Gorilla,14,Mus,0.0252525252525252,14,14.0,14.0,14,0,Gorilla,14,Mus,14,0,0.0,1,0.551295,245.854,-4601.67,445.9572461,135.5380809,0.23907
7,1014070,496,1412,791,621,0,Homo,185,Rattus,0.2587976539589443,209,128.36363636363637,181.0,181,0,Homo,181,Mus,209,170,0.8133971291866029,1,3.08008,867.563,-5407.5,281.6689826,2672.163445,0.30616
8,1014071,1087,351,197,154,22,Mus,43,Macaca,0.0293551894287864,66,4.3875,3.0,1,1,Mus,20,Macaca,66,43,0.6515151515151515,1,1.26083,1012.21,-11080.7,802.8124331,1276.2247343,0.29617
9,813310,993,24,24,0,0,Mus,8,Pan,0.0021971985718209,8,8.0,8.0,8,0,Mus,8,Pan,8,24,3.0,1,2.13883,1392.71,-9921.87,651.1550708,2978.7699293,0.05939
10,813332,2717,513,282,231,40,Pan,55,Macaca,0.0171646535282898,97,13.5,15.0,2,1,Mus,30,Gorilla,97,51,0.5257731958762887,1,0.805593,1527.82,-31144.7,1896.5159826,1230.8010973,0.07586
11,813352,230,80,42,38,3,Rattus,8,Pan,0.0316205533596837,11,3.809523809523809,4.0,4,3,Mus,4,Mus,11,4,0.3636363636363636,1,0.0385163,8.56304,-1961.5,222.3224972,0.3298166,0.85231
12,643208,464,42,35,7,0,Gorilla,15,Pan,0.0082288401253918,16,2.625,1.0,1,0,Gorilla,14,Pan,16,28,1.75,1,6.08724,1473.86,-3947.26,242.1228668,8971.7395464,0.01146
13,643209,411,177,158,19,1,V5,64,Pan,0.0391506303915063,72,9.31578947368421,2.0,1,1,Pan,63,Pan,72,139,1.930555555555556,1,1.96614,580.81,-3937.97,295.4062274,1141.9537734,0.20846
14,643786,381,260,144,116,0,Macaca,40,Mus,0.0620376998329754,40,26.0,26.0,40,0,Macaca,40,Mus,40,28,0.7,1,0.308522,107.054,-3526.74,346.9898419,33.0285142,0.31906
15,643787,347,5,3,2,0,Pan,2,Mus,0.0013099292638197,2,1.0,1.0,1,0,Pan,1,Mus,2,1,0.5,1,0.00590795,2.04163,-2635.59,345.5733376,0.0120618,0.35889
16,968968,1433,74,41,33,5,Rattus,8,Mus,0.0046945378417813,14,2.242424242424242,3.0,1,1,Mus,4,Mus,14,8,0.5714285714285714,1,0.0293014,41.507,-13696.2,1416.5534753,1.2162132,0.36307
17,968981,121,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,14,8,0.5714285714285714,0,1e-06,1e-06,-957.417,1.0,0.0,0.04253
18,1000194,1565,1252,692,560,79,Pan,161,root,0.0727272727272727,231,5.990430622009569,2.0,1,1,Mus,62,Mus,231,132,0.5714285714285714,1,0.510185,648.645,-13442.5,1271.3917501,330.9289493,0.47176
19,1003806,584,291,194,97,19,Homo,97,Pan,0.0452988792029887,116,11.192307692307692,9.0,10,1,Mus,87,Pan,116,97,0.8362068965517241,1,3.32692,1307.35,-6147.4,392.9610571,4349.448862,0.10304
20,809898,1712,198,123,75,6,Mus,33,Rattus,0.0105140186915887,54,3.09375,1.0,1,1,Mus,30,Rattus,54,48,0.8888888888888888,1,0.359803,567.38,-16914.1,1576.9184804,204.1450261,0.23909
21,809906,651,794,562,232,32,Gorilla,177,Pan,0.110878368942885,217,49.625,32.0,32,1,Mus,177,Pan,217,330,1.5207373271889402,1,2.54498,1036.83,-7659.41,407.4020228,2638.7116134,0.25257
22,809910,550,104,89,15,1,Gorilla,74,Pan,0.0171900826446281,77,4.727272727272728,2.0,2,1,Mus,71,Pan,77,74,0.961038961038961,1,2.91351,1243.1,-5525.68,426.6674904,3621.784281,0.08138
23,811853,1032,1648,1284,364,63,Homo,508,Macaca,0.1451726568005637,513,37.45454545454545,30.0,32,1,Rattus,349,Pan,513,920,1.793372319688109,1,13.1266,1425.63,-15758.3,108.606189,18713.674758,0.06069
24,811870,187,341,175,166,20,Pan,42,Rattus,0.1657754010695187,51,16.238095238095237,11.0,11,9,Pan,31,Mus,51,9,0.1764705882352941,1,5.9226,715.683,-1837.94,120.8393273,4238.7041358,0.12317
25,811902,963,203,171,32,5,V7,60,Macaca,0.0191635986028509,91,4.413043478260869,1.5,1,1,Mus,41,Pan,91,139,1.5274725274725274,1,0.800178,626.596,-9059.66,783.0707668,501.3883341,0.29411
26,312389,1053,8,5,3,0,Pan,3,Mus,0.000690667357334,3,1.1428571428571428,1.0,1,0,Pan,2,Mus,3,2,0.6666666666666666,1,0.131449,135.378,-8832.9,1029.8899193,17.7953027,0.1609
27,312397,1181,13,7,6,0,Pan,3,Mus,0.0010006927873142,4,1.4444444444444444,1.0,1,0,Pan,2,Mus,4,1,0.25,1,0.0123491,14.5202,-9478.64,1175.8103829,0.1793114,0.27624
28,312409,1403,2380,1200,1180,23,Rattus,279,root,0.1542149938443595,299,16.08108108108108,2.0,1,1,Mus,160,Pan,299,20,0.0668896321070234,1,0.3261,375.133,-11220.2,1150.3618522,122.3308713,0.70489
29,785713,420,300,158,142,11,Mus,37,root,0.0649350649350649,53,5.084745762711864,4.0,1,1,Mus,15,Rattus,53,16,0.3018867924528302,1,0.39901,144.726,-3535.33,362.712714,57.7471213,0.40346
30,785734,256,60,30,30,0,Gorilla,6,Mus,0.0213068181818181,6,6.0,6.0,6,0,Gorilla,6,Mus,6,0,0.0,1,0.0220681,5.57711,-1935.07,252.7227083,0.1230762,0.49804
31,785737,255,34,31,3,0,Rattus,27,Mus,0.0121212121212121,28,4.25,1.0,1,0,Rattus,27,Mus,28,28,1.0,1,0.142606,34.1308,-1908.49,239.3363533,4.8672569,0.45153
32,946253,238,519,267,252,25,Rattus,57,root,0.1982429335370512,72,7.109589041095891,9.0,2,1,Pan,22,Mus,72,15,0.2083333333333333,1,0.322994,54.9886,-2032.93,170.2465061,17.7609879,1.34655
33,946254,230,11,8,3,0,Mus,4,Rattus,0.0043478260869565,5,1.375,1.0,1,0,Mus,4,Rattus,5,5,1.0,1,0.221023,47.7826,-2079.34,216.1883605,10.5610536,0.2843
34,946257,390,6,4,2,0,Pan,3,Rattus,0.0013986013986013,3,1.2,1.0,1,0,Pan,2,Rattus,3,2,0.6666666666666666,1,0.0125768,4.87534,-2830.2,387.645506,0.0613162,0.35018
35,946259,148,22,11,11,1,Pan,4,Rattus,0.0135135135135135,4,1.5714285714285714,1.0,1,1,Rattus,3,Mus,4,0,0.0,1,0.0512817,7.33455,-1095.69,143.0247047,0.3761282,0.63327
36,988078,81,3,2,1,0,Pan,1,Mus,0.0033670033670033,1,1.0,1.0,1,0,Pan,1,Mus,1,1,1.0,1,0.163058,12.942,-547.897,79.3705307,2.1102966,0.10535
37,988081,210,57,31,26,0,Pan,13,Mus,0.0246753246753246,18,4.384615384615385,3.0,1,0,Pan,9,Mus,18,5,0.2777777777777778,1,0.0753925,14.5307,-1740.72,192.7340253,1.0955058,1.1869
38,988082,288,228,115,113,1,Pan,55,Mus,0.0719696969696969,57,11.4,1.0,1,1,Mus,53,Mus,57,2,0.0350877192982456,1,0.292073,71.9019,-2273.54,246.1778391,21.0006036,0.5945
39,726404,340,4,2,2,0,Pan,1,Mus,0.0010695187165775,1,1.0,1.0,1,0,Pan,1,Mus,1,0,0.0,1,0.005993,2.03421,-2693.27,339.4310028,0.012191,0.28678
40,726424,369,312,250,62,8,Homo,78,Gorilla,0.0768662232076866,133,9.176470588235292,4.0,2,1,Homo,62,Gorilla,133,188,1.413533834586466,1,2.67605,551.244,-5970.58,205.9916668,1475.1565062,0.32955
41,1027806,753,242,136,106,18,Gorilla,34,Macaca,0.0292164674634794,52,7.333333333333333,3.0,1,1,Mus,30,Macaca,52,30,0.5769230769230769,1,0.284235,195.302,-6078.92,687.1145355,55.511664,0.34219
42,1027823,386,235,128,107,10,Macaca,29,Homo,0.0553462081959491,31,4.519230769230769,4.0,4,1,Pan,15,Mus,31,21,0.6774193548387096,1,3.59744,970.704,-3823.36,269.8318804,3492.0493978,0.12641
43,1027845,898,896,809,87,11,Homo,211,Pan,0.0907066207734359,212,18.666666666666668,2.0,2,1,Mus,152,Rattus,212,722,3.4056603773584904,1,12.8943,1377.41,-12594.5,106.8231699,17760.737763,0.05202
44,581619,766,540,490,50,2,Mus,246,Rattus,0.0640873486826489,246,15.428571428571429,2.0,2,2,Mus,246,Rattus,246,440,1.7886178861788615,1,4.87473,1804.65,-8749.21,370.2051191,8797.1814945,0.16753
45,581655,278,5,3,2,0,Mus,1,Pan,0.0016350555918901,1,1.0,1.0,1,0,Mus,1,Pan,1,1,1.0,1,0.0072247,2.00325,-1548.38,277.2779493,0.0144729,0.11208
46,808758,478,742,463,279,13,Gorilla,131,Pan,0.1411182959300114,148,19.025641025641026,10.0,41,2,Rattus,46,Pan,148,184,1.2432432432432432,1,8.21171,1584.37,-4774.03,192.9403255,13010.3869727,0.15107
47,808759,626,80,50,30,6,Rattus,19,Pan,0.0116177751960499,26,6.666666666666667,6.0,6,1,Mus,19,Pan,26,20,0.7692307692307693,1,2.75278,1319.55,-6179.84,479.3517826,3632.430849,0.09091
48,802457,190,14,8,6,0,Mus,2,Pan,0.0066985645933014,2,2.0,2.0,2,0,Mus,2,Pan,2,2,1.0,1,0.0904808,16.7157,-1356.2,184.7430615,1.5124499,0.2917
49,802467,69,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,2,2,1.0,0,1e-06,1e-06,-552.637,1.0,0.0,0.23272
50,817918,332,139,96,43,5,Gorilla,48,Macaca,0.0380613362541073,57,4.964285714285714,2.0,1,1,Mus,28,Macaca,57,53,0.9298245614035088,1,0.349292,98.1564,-2819.36,281.015311,34.2852453,0.53013
51,817921,411,242,122,120,10,Gorilla,24,Rattus,0.0535279805352798,26,11.0,5.0,2,2,Mus,22,Rattus,26,2,0.0769230769230769,1,0.208248,78.1887,-3639.09,375.4595482,16.2826404,0.45645
52,817931,788,546,335,211,37,Homo,124,Rattus,0.0629903091832025,135,10.11111111111111,6.5,1,1,Mus,102,Rattus,135,124,0.9185185185185184,1,0.981971,604.575,-6927.53,615.6750047,593.6751173,0.29471
53,743556,651,1194,691,503,93,V7,139,Pan,0.1667364893171344,173,22.11111111111111,21.0,9,3,V7,52,Pan,173,188,1.0867052023121386,1,6.99724,1395.43,-6802.99,199.4257736,9764.1586132,0.13948
54,743830,702,341,186,155,30,Pan,32,Rattus,0.0441595441595441,62,28.416666666666668,31.0,31,1,Rattus,31,Mus,62,31,0.5,1,2.40071,1242.83,-6655.31,517.6926826,2983.6744093,0.09109
55,743841,621,293,166,127,22,Pan,39,Rattus,0.0428926950666081,61,6.813953488372093,2.0,1,1,Rattus,20,Rattus,61,39,0.639344262295082,1,3.42082,1394.76,-4561.24,407.7268023,4771.2229032,0.09698
56,745957,368,941,476,465,34,Gorilla,96,Homo,0.2324604743083003,99,40.91304347826087,10.0,86,5,Mus,87,Macaca,99,11,0.1111111111111111,1,3.94044,796.402,-4373.65,202.1099167,3138.1742969,0.23426
57,978390,153,36,18,18,0,Pan,9,Mus,0.0213903743315508,9,4.5,4.5,8,0,Pan,8,Mus,9,0,0.0,1,0.106638,15.612,-1082.28,146.4018455,1.6648325,0.40364
58,978394,1040,572,465,107,21,Pan,358,Gorilla,0.05,379,16.34285714285714,1.0,1,1,Mus,337,Gorilla,379,358,0.9445910290237468,1,0.815608,674.055,-10515.8,826.4448117,549.7646504,0.33257
59,978397,1428,193,101,92,10,Macaca,19,Mus,0.0122867328749681,28,5.216216216216216,3.0,1,1,Mus,14,Mus,28,9,0.3214285714285714,1,1.58032,1436.37,-13604.4,908.9108535,2269.9242384,0.0859
60,978403,717,10,5,5,0,Rattus,1,Mus,0.0012679092177,1,1.0,1.0,1,0,Rattus,1,Mus,1,0,0.0,1,0.00297402,2.13095,-6069.18,716.521745,0.0063375,0.16228
61,1035184,343,22,12,10,1,Mus,3,Rattus,0.0058309037900874,4,1.2941176470588236,1.0,1,1,Mus,2,Pan,4,2,0.5,1,0.2547,84.1413,-2589.43,330.3545347,21.4307891,0.14404
62,1035193,804,239,135,104,6,Pan,55,Macaca,0.0270239710538218,62,5.431818181818182,1.5,1,1,Mus,51,Macaca,62,31,0.5,1,0.359138,265.648,-7203.59,739.6822391,95.4042914,0.24448
63,1035213,877,1388,699,689,18,Macaca,165,root,0.1438789260910127,175,29.53191489361702,9.0,1,1,Mus,117,Mus,175,10,0.0571428571428571,1,0.476776,336.963,-8295.7,706.7532762,160.6558713,0.53234
64,1035248,223,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,175,10,0.0571428571428571,0,1e-06,1e-06,-2246.95,1.0,0.0,0.17129
65,754047,157,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,175,10,0.0571428571428571,0,1e-06,1e-06,-1247.09,1.0,0.0,0.01361
66,754052,154,25,25,0,0,Mus,25,Gorilla,0.0147579693034238,25,25.0,25.0,25,0,Mus,25,Gorilla,25,25,1.0,1,4.1797,529.741,-1102.58,126.7413929,2214.1584577,0.05353
67,754063,213,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,25,25,1.0,0,1e-06,1e-06,-2684.64,1.0,0.0,0.22999
68,811481,2051,618,541,77,15,Homo,274,Gorilla,0.0273924028190239,477,7.536585365853658,1.0,1,1,Mus,260,Gorilla,477,464,0.9727463312368972,1,1.17459,1311.62,-20594.4,1116.6619842,1540.6157358,0.07957
69,811486,194,72,59,13,0,Homo,44,Pan,0.0337394564198687,44,5.142857142857143,2.0,2,0,Homo,44,Pan,44,46,1.0454545454545454,1,2.68399,415.29,-1327.82,154.7285944,1114.6342071,0.09698
70,811487,665,757,568,189,27,Mus,175,Rattus,0.103485987696514,175,18.463414634146343,5.0,6,2,Pan,175,Rattus,175,379,2.165714285714286,1,9.4189,1606.18,-10427.9,170.527344,15128.448802,0.15363
71,1008243,228,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,175,379,2.165714285714286,0,1e-06,1e-06,-2435.83,1.0,0.0,0.24203
72,1008248,234,273,144,129,19,Homo,31,V9,0.106060606060606,34,6.204545454545454,5.0,9,2,Homo,17,Pan,34,15,0.4411764705882353,1,0.844484,142.72,-1798.58,169.0026099,120.5247565,0.48355
73,1008256,129,3,2,1,0,Pan,1,Mus,0.0021141649048625,1,1.0,1.0,1,0,Pan,1,Mus,1,1,1.0,1,0.0174371,2.23917,-926.92,128.4141285,0.0390446,0.19706
74,1008257,105,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,1,1,1.0,0,1e-06,1e-06,-1065.38,1.0,0.0,0.20738
75,802759,197,144,72,72,0,Pan,24,Mus,0.0664513151822796,24,24.0,24.0,24,0,Pan,24,Mus,24,0,0.0,1,0.275577,50.7623,-1509.53,184.203689,13.9889223,0.24903
76,802769,244,54,52,2,0,Pan,51,Rattus,0.0201192250372578,51,9.0,1.0,1,0,Pan,28,Rattus,51,50,0.9803921568627452,1,0.933139,196.112,-1683.98,210.1637591,182.9997556,0.17529
77,803260,1482,462,249,213,36,Mus,45,Pan,0.0283400809716599,75,6.078947368421052,5.0,1,1,Mus,15,Gorilla,75,36,0.48,1,1.38718,1349.73,-16225.5,973.0027826,1872.3184614,0.16544
78,1021278,732,854,471,383,72,V7,85,Rattus,0.106060606060606,163,9.816091954022989,4.0,1,1,Mus,67,Gorilla,163,88,0.5398773006134969,1,1.40391,681.91,-7180.41,485.7220192,957.3402681,0.38662
79,1021287,379,1,1,0,0,Rattus,1,Mus,0.0002398656752218,1,1.0,1.0,1,0,Rattus,1,Mus,1,1,1.0,1,0.00343935,1.30263,-3372.03,378.7430765,0.0044802,0.63185
80,1021306,431,479,363,116,11,Homo,138,Gorilla,0.1010335372284328,147,6.386666666666667,2.0,2,1,Mus,135,Gorilla,147,247,1.6802721088435375,1,2.46816,657.579,-5425.61,266.4247861,1623.0101846,0.30196
81,690004,478,399,230,169,32,Mus,55,Gorilla,0.0758843666793457,95,12.870967741935484,1.0,1,1,Rattus,36,Gorilla,95,61,0.6421052631578947,1,3.31205,1034.83,-4393.64,312.4439547,3427.4087015,0.17491
82,690104,619,109,109,0,0,Pan,106,Rattus,0.0160082244088706,109,54.5,54.5,3,0,Pan,106,Rattus,109,109,1.0,1,0.990708,561.877,-4698.46,567.1469293,556.6560389,0.09072
83,993047,683,158,158,0,0,Mus,158,Gorilla,0.0210302142952216,158,158.0,158.0,158,0,Mus,158,Gorilla,158,158,1.0,1,3.5122,1312.41,-5160.35,373.6717727,4609.446402,0.00654
