OMA_group,seq_Mus,seq_Rattus,seq_Pan,seq_Homo,seq_Gorilla,seq_Macaca,seq_V2,seq_V5,seq_V7,seq_V9,seq_root,tree_Mus,tree_Rattus,tree_Pan,tree_Homo,tree_Gorilla,tree_Macaca,tree_V2,tree_V5,tree_V7,tree_V9,tree_root
1003384,639,630,617,630,630,639,639,630,630,639,639,0.00579,0.01576,0.006,0.00445,0.0059,0.00425,0.00415,0.00435,0.00425,0.00415,0
1004670,276,277,293,293,279,293,277,293,293,293,275,0.04899,0.06899,0.05443,0.05085,0.24885,0.05477,0.03782,0.05075,0.03792,0.03782,0
1007052,577,566,573,573,573,499,574,573,573,573,573,0.02418,0.03818,0.01703,0.01909,0.01899,0.14382,0.01079,0.01693,0.01683,0.01104,0
1008423,536,536,514,514,513,491,536,514,514,512,512,0.02201,0.02674,0.0203,0.01824,0.15299,0.16488,0.00995,0.01814,0.01804,0.00994,0
1008646,621,621,671,675,616,676,621,675,679,680,617,0.06574,0.06496,0.07169,0.07169,0.22134,0.07081,0.05505,0.06984,0.06907,0.05505,0
1008806,68,68,73,68,68,90,68,68,68,68,68,0.09257,0.07798,0.07832,0.06344,0.06334,0.17358,0.06314,0.06334,0.06324,0.06314,0
1009215,1437,1484,1487,1487,1457,1439,1458,1487,1460,1460,1458,0.0108,0.01503,0.01122,0.01122,0.03613,0.01312,0.00941,0.01112,0.01042,0.01032,0
1009324,564,551,548,562,517,518,564,562,560,560,560,0.01679,0.01481,0.01231,0.01231,0.01221,0.01385,0.00889,0.01221,0.01211,0.00886,0
1011067,448,437,449,449,449,372,448,449,449,449,448,0.03411,0.03473,0.02512,0.02512,0.02762,0.02752,0.02482,0.02502,0.02492,0.02482,0
1011746,354,366,344,354,354,354,354,354,354,354,354,0.00877,0.02361,0.11399,0.00325,0.0003,0.0002,0.00582,0.00315,0.0002,0.0001,0
1011990,470,468,472,472,472,474,468,472,472,472,464,0.21876,0.10938,0.09848,0.10528,0.09397,0.09921,0.07963,0.09174,0.08725,0.07962,0
1013646,747,747,695,751,738,697,747,751,751,747,747,0.03721,0.04798,0.03095,0.03243,0.09431,0.03025,0.02322,0.02948,0.02938,0.02316,0
1016842,1216,1218,1250,1250,1216,1250,1216,1250,1250,1250,1216,0.03677,0.04378,0.02897,0.02897,0.09068,0.02774,0.02624,0.02814,0.02804,0.02624,0
1020121,1028,958,1029,1029,1029,1029,1024,1029,1029,1029,1024,0.02463,0.08048,0.0227,0.0247,0.02355,0.02251,0.01924,0.0226,0.0225,0.01935,0
1021005,1510,1503,1494,1496,1466,1492,1499,1494,1494,1494,1494,0.03456,0.03584,0.02722,0.02654,0.08041,0.02996,0.02248,0.02585,0.02519,0.02238,0
1022818,437,437,437,471,440,437,437,437,437,437,437,0.02207,0.01972,0.01995,0.09848,0.02206,0.01524,0.01514,0.01985,0.01975,0.01514,0
1034014,276,276,272,272,276,276,276,272,276,276,276,0.08077,0.06384,0.13544,0.13168,0.04734,0.05347,0.03278,0.13158,0.0435,0.03285,0
