,OMA_group,Mus,Rattus,Pan,Homo,Gorilla,Macaca,V2,V5,V7,V9,root
0,1003384,0.00164,0.01161,0.00165,0.0001,0.00165,0.0001,0.00415,0.0001,0.0001,0.00415,0.0
1,1004670,0.01117,0.03117,0.00368,0.0001,0.21093,0.01695,0.03782,0.01283,0.0001,0.03782,0.0
2,1007052,0.01339,0.02739,0.0001,0.00216,0.00216,0.13278,0.01079,0.0001,0.00579,0.01104,0.0
3,1008423,0.01206,0.01679,0.00216,0.0001,0.13495,0.15494,0.00995,0.0001,0.0081,0.00994,0.0
4,1008646,0.01069,0.00991,0.00185,0.00185,0.15227,0.01576,0.05505,0.00077,0.01402,0.05505,0.0
5,1008806,0.02943,0.01484,0.01498,0.0001,0.0001,0.11044,0.06314,0.0001,0.0001,0.06314,0.0
6,1009215,0.00139,0.00562,0.0001,0.0001,0.02571,0.0028,0.00941,0.0007,0.0001,0.01032,0.0
7,1009324,0.0079,0.00592,0.0001,0.0001,0.0001,0.00499,0.00889,0.0001,0.00325,0.00886,0.0
8,1011067,0.00929,0.00991,0.0001,0.0001,0.0027,0.0027,0.02482,0.0001,0.0001,0.02482,0.0
9,1011746,0.00295,0.01779,0.11084,0.0001,0.0001,0.0001,0.00582,0.00295,0.0001,0.0001,0.0
10,1011990,0.13913,0.02975,0.00674,0.01354,0.00672,0.01959,0.07963,0.00449,0.00763,0.07962,0.0
11,1013646,0.01399,0.02476,0.00147,0.00295,0.06493,0.00709,0.02322,0.0001,0.00622,0.02316,0.0
12,1016842,0.01053,0.01754,0.00083,0.00083,0.06264,0.0015,0.02624,0.0001,0.0018,0.02624,0.0
13,1020121,0.00539,0.06124,0.0001,0.0021,0.00105,0.00316,0.01924,0.0001,0.00315,0.01935,0.0
14,1021005,0.01208,0.01336,0.00137,0.00069,0.05522,0.00758,0.02248,0.00066,0.00281,0.02238,0.0
15,1022818,0.00693,0.00458,0.0001,0.07863,0.00231,0.0001,0.01514,0.0001,0.00461,0.01514,0.0
16,1034014,0.04799,0.03106,0.00386,0.0001,0.00384,0.02062,0.03278,0.08808,0.01065,0.03285,0.0
17,1036577,0.00968,0.01533,0.0033,0.0001,0.08792,0.00497,0.01421,0.0001,0.00164,0.0142,0.0
18,1037973,0.0296,0.00312,0.0001,0.0001,0.0001,0.0001,0.00517,0.0001,0.0001,0.00518,0.0
19,1039413,0.01709,0.02172,0.002,0.00201,0.04203,0.00803,0.01515,0.0001,0.00605,0.01514,0.0
20,1039501,0.01664,0.01519,0.14462,0.00377,0.00189,0.00832,0.0467,0.0001,0.01119,0.0467,0.0
21,1039732,0.00816,0.01062,0.00186,0.0001,0.16201,0.00197,0.02794,0.00171,0.00196,0.02798,0.0
22,1040630,0.02575,0.07626,0.00285,0.0019,0.00189,0.01186,0.03485,0.00095,0.00244,0.03485,0.0
23,311903,0.00321,0.01049,0.00108,0.0001,0.03104,0.00197,0.01196,0.0007,0.00381,0.01199,0.0
24,317866,0.0457,0.01699,0.15216,0.00464,0.01372,0.07757,0.05315,0.01871,0.01452,0.05315,0.0
25,320122,0.00364,0.00723,0.0001,0.0001,0.01471,0.0072,0.00918,0.00356,0.01095,0.00918,0.0
26,575096,0.01362,0.00979,0.0001,0.00194,0.05297,0.00824,0.01267,0.00302,0.00639,0.01267,0.0
27,575142,0.0047,0.11902,0.0001,0.00506,0.00505,0.00722,0.03313,0.0001,0.01216,0.03312,0.0
28,579942,0.02937,0.43297,0.0001,0.0001,0.00265,0.01984,0.1707,0.00244,0.00876,0.1707,0.0
29,580517,0.02827,0.02667,0.00577,0.0001,0.26088,0.00569,0.05864,0.0001,0.00586,0.0587,0.0
30,580687,0.0001,0.0001,0.02115,0.0001,0.0001,0.00298,0.00485,0.0001,0.0001,0.00411,0.0
31,583034,0.02054,0.02552,0.00225,0.00225,0.16393,0.00471,0.0239,0.0001,0.00666,0.02386,0.0
32,583153,0.01008,0.0001,0.00335,0.12676,0.0001,0.0001,0.00672,0.00335,0.0001,0.00672,0.0
33,584881,0.00813,0.08855,0.0001,0.00508,0.00169,0.00168,0.01137,0.0001,0.00171,0.01137,0.0
34,585572,0.0001,0.00432,0.0001,0.0001,0.0907,0.00108,0.00488,0.0001,0.00216,0.00488,0.0
35,585578,0.0067,0.00669,0.02629,0.0001,0.00223,0.0052,0.00959,0.0001,0.00151,0.00957,0.0
36,605352,0.01092,0.00646,0.0001,0.0001,0.00812,0.03797,0.0187,0.00074,0.0001,0.0187,0.0
37,611297,0.0001,0.0001,0.0001,0.0001,0.04168,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
38,619788,0.01802,0.02145,0.00861,0.00861,0.08044,0.01739,0.03542,0.00285,0.0145,0.03524,0.0
39,624867,0.0055,0.0017,0.0001,0.00143,0.06667,0.00429,0.0234,0.0001,0.0001,0.0233,0.0
40,625434,0.0118,0.01099,0.0001,0.00132,0.1063,0.00373,0.00902,0.0001,0.003,0.00902,0.0
41,626932,0.00468,0.02176,0.04532,0.0001,0.0001,0.1677,0.01987,0.00362,0.0041,0.01983,0.0
42,648115,0.01547,0.00844,0.00292,0.00292,0.05298,0.00917,0.02002,0.00148,0.00267,0.02,0.0
43,653351,0.00742,0.00175,0.00184,0.0001,0.05446,0.00366,0.0083,0.0001,0.00369,0.00846,0.0
44,653565,0.02987,0.02427,0.00691,0.00812,0.11352,0.01338,0.04347,0.00282,0.00972,0.04349,0.0
45,653867,0.0001,0.0001,0.01295,0.0001,0.00099,0.04564,0.00352,0.0001,0.0019,0.00347,0.0
46,670150,0.00331,0.02419,0.0001,0.0001,0.13241,0.01597,0.04515,0.0001,0.01293,0.04515,0.0
