OMA_group,aln_len,total_gap_count,msa_gap_count,asr_gap_count,min_gap_count,spc_wmin_gap_count,max_gap_count,spc_wmax_gap_count,gap_ratio,num_gappy_sites,avg_gap_len,median_gap_len,mode_gap_len,min_gap_len,spc_wmin_gap_len,max_gap_len,spc_wmax_gap_len,num_ins,num_del,indel_ratio,is_gappy,mu,lambda,loglikelihood,intensity,expected_len,tree_len
1003384,648,166,103,63,9,Mus,31,Pan,0.023288439955106623,41,10.375,9.0,9,9,Mus,22,Pan,41,40,0.975609756097561,1,7.10111,1915.73,-6009.74,269.7789501,13603.8094603,0.02525
1004670,297,125,71,54,4,Pan,22,root,0.038261401897765536,26,3.787878787878788,1.0,1,1,Mus,18,Mus,26,17,0.6538461538461539,1,0.22991,63.0143,-2371.06,274.0824671,14.4876177,0.36257
1007052,657,1000,581,419,80,Mus,158,Macaca,0.1383700013837,223,10.75268817204301,4.0,4,1,Pan,50,Rattus,223,162,0.726457399103139,1,2.29326,1035.93,-5213.98,451.7281076,2375.6568318,0.2057
1008423,635,1293,706,587,99,Mus,144,Macaca,0.1851109520400859,242,18.73913043478261,19.0,13,2,Mus,36,Mus,242,119,0.49173553719008267,1,1.7211,706.784,-5842.87,410.6582999,1216.4459424,0.34909
1008646,760,1208,680,528,80,V9,144,Gorilla,0.1444976076555024,240,8.447552447552448,6.0,2,1,Mus,56,Gorilla,240,152,0.6333333333333333,1,1.87231,925.067,-6869.86,494.0779038,1732.0121948,0.31722
1008806,95,270,135,135,5,Macaca,27,Mus,0.2583732057416268,27,9.0,4.0,4,1,Mus,22,Mus,27,0,0.0,1,1.41791,96.6363,-769.975,68.1540436,137.0215761,0.29637
1009215,1551,947,515,432,64,Pan,114,Mus,0.055506711212707345,155,14.134328358208956,9.0,27,1,Mus,27,Mus,155,83,0.535483870967742,1,15.9676,1770.64,-17721.2,110.8895513,28272.871264,0.05625
1009324,581,325,226,99,17,Mus,64,Gorilla,0.05085276169613519,75,6.63265306122449,2.0,2,1,Rattus,58,Gorilla,75,127,1.6933333333333334,1,23.5512,1705.28,-8403.45,72.4073508,40161.390336,0.04021
1011067,502,675,408,267,53,Pan,130,Macaca,0.12223831944947483,131,45.0,53.0,53,1,Mus,130,Macaca,131,141,1.0763358778625953,1,4.81999,1444.41,-3501.72,299.6707462,6962.0417559,0.07464
1011746,387,361,196,165,21,Rattus,43,Pan,0.08480150340615457,64,8.595238095238095,8.0,2,2,Mus,29,Pan,64,31,0.484375,1,9.03183,1491.72,-4822.39,165.1625418,13472.9614476,0.14085
1011990,523,577,310,267,49,Macaca,59,root,0.10029549800104294,102,10.12280701754386,3.0,2,1,Pan,27,Rattus,102,43,0.4215686274509804,1,0.793838,320.577,-4055.88,403.8317642,254.4862045,0.38684
1013646,765,297,215,82,14,Homo,70,Pan,0.03529411764705882,95,7.2439024390243905,4.0,4,2,Mus,52,Pan,95,133,1.4,1,2.07967,1155.53,-8622.68,555.6314223,2403.1210751,0.16789
1016842,1289,597,334,263,39,Pan,73,Mus,0.042104520770153045,110,10.293103448275861,5.0,12,1,Gorilla,34,Mus,110,71,0.6454545454545455,1,1.24749,1306.12,-12960.3,1046.9983727,1629.3716388,0.14825
1020121,1045,258,168,90,16,Pan,87,Rattus,0.022444541104828186,99,4.372881355932203,2.0,2,1,Mus,64,Rattus,99,78,0.7878787878787878,1,1.55021,1307.57,-7735.26,843.4792706,2027.0080897,0.11488
1021005,1579,933,513,420,69,Mus,113,Gorilla,0.053716391271806094,176,13.140845070422536,11.0,21,2,Rattus,31,Gorilla,176,93,0.5284090909090909,1,1.01349,1296.8,-16544.7,1279.5390186,1314.293832,0.13863
1022818,506,722,377,345,35,Homo,69,Mus,0.12971613366870283,101,22.5625,19.0,19,3,Mus,47,Mus,101,32,0.31683168316831684,1,2.15474,862.852,-3157.37,400.443673,1859.2217185,0.12764
1034014,307,353,194,159,31,Mus,35,Pan,0.10453064850458987,66,18.57894736842105,24.0,24,7,Mus,35,Pan,66,35,0.5303030303030303,1,0.614156,161.762,-2631.45,263.3891064,99.3471029,0.27183
1036577,658,408,230,178,31,Homo,50,Macaca,0.056369162752141475,75,6.181818181818182,5.0,1,1,Mus,15,Mus,75,52,0.6933333333333334,1,1.89564,971.549,-5194.02,512.5176721,1841.7071464,0.15145
1037973,403,243,125,118,0,Macaca,27,Mus,0.05481615159034514,27,16.2,23.0,23,0,Macaca,23,Mus,27,7,0.25925925925925924,1,2.97807,1030.6,-2521.71,346.0630543,3069.198942,0.04367
1039413,548,471,246,225,21,Gorilla,45,Mus,0.07813536828135369,66,14.71875,12.0,3,3,Mus,30,Mus,66,21,0.3181818181818182,1,4.57634,1422.49,-5850.61,310.8357334,6509.7978866,0.12932
1039501,593,398,222,176,34,Macaca,46,Pan,0.06101487045837805,82,4.91358024691358,3.0,2,1,Mus,15,Pan,82,46,0.5609756097560976,1,1.25863,551.6,-6079.46,438.2542924,694.260308,0.29512
