OMA_group,seq_Mus,seq_Rattus,seq_Pan,seq_Homo,seq_Macaca,seq_Gorilla,seq_V2,seq_V5,seq_V7,seq_V9,seq_root,tree_Mus,tree_Rattus,tree_Pan,tree_Homo,tree_Macaca,tree_Gorilla,tree_V2,tree_V5,tree_V7,tree_V9,tree_root,is_gappy
1003384,639,630,617,630,639,630,639,630,630,639,639,0.00164,0.01161,0.00165,0.0001,0.0001,0.00165,0.00415,0.0001,0.0001,0.00415,0,1
1004670,276,277,293,293,293,279,277,293,293,293,275,0.01117,0.03117,0.00368,0.0001,0.01695,0.21093,0.03782,0.01283,0.0001,0.03782,0,1
1007052,577,566,573,573,499,573,574,573,573,573,573,0.01339,0.02739,0.0001,0.00216,0.13278,0.00216,0.01079,0.0001,0.00579,0.01104,0,1
1008423,536,536,514,514,491,513,536,514,514,512,512,0.01206,0.01679,0.00216,0.0001,0.15494,0.13495,0.00995,0.0001,0.0081,0.00994,0,1
1008646,621,621,671,675,676,616,621,675,679,680,617,0.01069,0.00991,0.00185,0.00185,0.01576,0.15227,0.05505,0.00077,0.01402,0.05505,0,1
1008806,68,68,73,68,90,68,68,68,68,68,68,0.02943,0.01484,0.01498,0.0001,0.11044,0.0001,0.06314,0.0001,0.0001,0.06314,0,1
1009215,1437,1484,1487,1487,1439,1457,1458,1487,1460,1460,1458,0.00139,0.00562,0.0001,0.0001,0.0028,0.02571,0.00941,0.0007,0.0001,0.01032,0,1
1009324,564,565,548,562,562,518,564,562,560,560,560,0.0079,0.00592,0.0001,0.0001,0.00499,0.0001,0.00889,0.0001,0.00325,0.00886,0,1
1011067,448,437,449,449,372,449,448,449,449,449,448,0.00929,0.00991,0.0001,0.0001,0.0027,0.0027,0.02482,0.0001,0.0001,0.02482,0,1
1011746,354,366,344,354,354,354,354,354,354,354,354,0.00295,0.01779,0.11084,0.0001,0.0001,0.0001,0.00582,0.00295,0.0001,0.0001,0,1
1011990,470,468,472,472,474,472,468,472,472,472,464,0.13913,0.02975,0.00674,0.01354,0.01959,0.00672,0.07963,0.00449,0.00763,0.07962,0,1
1013646,747,747,695,751,697,738,747,751,751,747,747,0.01399,0.02476,0.00147,0.00295,0.00709,0.06493,0.02322,0.0001,0.00622,0.02316,0,1
1016842,1216,1218,1250,1250,1250,1216,1216,1250,1250,1250,1216,0.01053,0.01754,0.00083,0.00083,0.0015,0.06264,0.02624,0.0001,0.0018,0.02624,0,1
1020121,1028,958,1029,1029,1029,1029,1024,1029,1029,1029,1024,0.00539,0.06124,0.0001,0.0021,0.00316,0.00105,0.01924,0.0001,0.00315,0.01935,0,1
1021005,1510,1503,1494,1496,1492,1466,1499,1494,1494,1494,1494,0.01208,0.01336,0.00137,0.00069,0.00758,0.05522,0.02248,0.00066,0.00281,0.02238,0,1
1022818,437,437,437,471,437,440,437,437,437,437,437,0.00693,0.00458,0.0001,0.07863,0.0001,0.00231,0.01514,0.0001,0.00461,0.01514,0,1
1034014,276,276,272,272,276,276,276,272,276,276,276,0.04799,0.03106,0.00386,0.0001,0.02062,0.00384,0.03278,0.08808,0.01065,0.03285,0,1
1036577,625,625,622,627,608,611,625,622,622,622,621,0.00968,0.01533,0.0033,0.0001,0.00497,0.08792,0.01421,0.0001,0.00164,0.0142,0,1
1037973,376,380,377,377,403,380,380,377,380,380,380,0.0296,0.00312,0.0001,0.0001,0.0001,0.0001,0.00517,0.0001,0.0001,0.00518,0,1
1039413,503,503,503,503,503,527,503,503,503,503,503,0.01709,0.02172,0.002,0.00201,0.00803,0.04203,0.01515,0.0001,0.00605,0.01514,0,1
1039501,557,557,547,558,559,558,557,558,558,559,557,0.01664,0.01519,0.14462,0.00377,0.00832,0.00189,0.0467,0.0001,0.01119,0.0467,0,1
1039732,537,537,540,562,540,542,537,540,540,540,537,0.00816,0.01062,0.00186,0.0001,0.00197,0.16201,0.02794,0.00171,0.00196,0.02798,0,1
1040630,1135,1134,1079,1135,1124,1137,1135,1135,1135,1135,1135,0.02575,0.07626,0.00285,0.0019,0.01186,0.00189,0.03485,0.00095,0.00244,0.03485,0,1
311903,2798,2798,2804,2804,2804,2803,2798,2804,2804,2804,2798,0.00321,0.01049,0.00108,0.0001,0.00197,0.03104,0.01196,0.0007,0.00381,0.01199,0,1
317866,322,322,273,317,274,317,322,317,317,316,316,0.0457,0.01699,0.15216,0.00464,0.07757,0.01372,0.05315,0.01871,0.01452,0.05315,0,1
320122,289,289,280,292,292,325,289,292,292,292,289,0.00364,0.00723,0.0001,0.0001,0.0072,0.01471,0.00918,0.00356,0.01095,0.00918,0,1
575096,535,535,535,535,537,530,535,535,535,536,534,0.01362,0.00979,0.0001,0.00194,0.00824,0.05297,0.01267,0.00302,0.00639,0.01267,0,1
575142,902,907,801,912,803,913,902,912,912,902,902,0.0047,0.11902,0.0001,0.00506,0.00722,0.00505,0.03313,0.0001,0.01216,0.03312,0,1
579942,395,403,393,393,393,424,395,393,393,393,393,0.02937,0.43297,0.0001,0.0001,0.01984,0.00265,0.1707,0.00244,0.00876,0.1707,0,1
580517,347,347,347,347,347,351,347,347,347,347,347,0.02827,0.02667,0.00577,0.0001,0.00569,0.26088,0.05864,0.0001,0.00586,0.0587,0,1
580687,336,336,338,336,336,336,336,336,336,336,336,0.0001,0.0001,0.02115,0.0001,0.00298,0.0001,0.00485,0.0001,0.0001,0.00411,0,1
583034,464,464,468,468,468,455,464,468,468,468,464,0.02054,0.02552,0.00225,0.00225,0.00471,0.16393,0.0239,0.0001,0.00666,0.02386,0,1
583153,299,299,327,329,299,333,299,299,299,299,299,0.01008,0.0001,0.00335,0.12676,0.0001,0.0001,0.00672,0.00335,0.0001,0.00672,0,1
584881,591,592,592,592,591,592,591,592,592,591,591,0.00813,0.08855,0.0001,0.00508,0.00168,0.00169,0.01137,0.0001,0.00171,0.01137,0,1
585572,977,977,955,955,955,940,977,955,955,955,954,0.0001,0.00432,0.0001,0.0001,0.00108,0.0907,0.00488,0.0001,0.00216,0.00488,0,1
