OMA_group,seq_Mus,seq_Rattus,seq_Pan,seq_Homo,seq_Gorilla,seq_Macaca,seq_V2,seq_V5,seq_V7,seq_V9,seq_root
1000131,941,925,988,987,987,937,938,987,987,955,785
1000249,1008,964,991,991,991,990,984,991,991,989,928
1000358,1097,992,1006,1006,1006,1009,999,1006,1006,1009,999
1000360,1000,982,998,1000,997,1000,986,998,998,992,992
1000362,1012,1025,988,988,988,990,1025,988,988,990,1025
1000739,999,1000,1003,1003,1004,1003,1000,1003,1003,1003,1000
1000809,1002,974,999,986,985,991,972,985,985,978,978
1000823,1022,992,1002,1002,1002,1098,1001,1002,1002,997,1001
1001353,1007,1007,1001,1003,1001,1002,1008,1003,1003,1007,1008
1002798,909,1072,916,959,911,843,995,916,916,903,820
1002891,889,896,985,987,989,998,870,987,987,977,870
1002933,983,993,1000,1001,1016,997,973,1000,1000,997,973
1003383,1005,997,1008,1008,1009,1009,999,1008,1009,1009,999
1003384,1000,981,998,998,998,998,999,998,998,998,997
1003817,1014,1000,1010,1015,993,1010,1000,1010,1010,1010,1000
1003905,1000,973,1014,1023,1021,1022,984,1021,1021,1022,984
1004146,998,998,1008,1008,1008,1009,999,1008,1008,1009,999
1004368,985,998,993,1002,996,995,1000,996,996,993,1000
1004406,924,981,1016,1016,1020,1015,988,1016,1016,1016,1016
1004511,1006,1012,1005,1005,1006,1004,1006,1005,1005,1006,1006
1004593,1006,1000,1001,1001,1013,1000,1005,1001,1001,1001,1001
1004845,1067,1006,988,999,1004,1031,983,1002,1002,993,983
1005043,1028,1048,1046,1076,1043,1038,1019,1046,1046,1038,1038
1005337,1000,1017,1069,1063,1059,1060,1056,1062,1061,1057,1056
1005341,1072,1047,996,995,1025,986,1035,996,996,995,1035
1006391,1038,1019,996,997,993,1000,1022,996,996,993,1022
1006570,1000,1002,1000,1000,1000,1000,1000,1000,1000,1000,1000
1006589,1001,1007,999,999,1003,1007,1001,999,1004,1003,1001
1006742,1003,1007,1001,1001,1002,1011,1003,1002,1002,1006,1003
1007251,997,1006,1007,1006,1007,1000,1002,1007,1007,1003,1002
1007342,1011,1051,1005,1018,1017,1005,1006,1016,1017,1032,1006
1007426,958,1016,1009,1009,1014,1035,986,1009,1009,1010,1010
1008205,1025,1005,958,955,961,1189,1005,961,961,961,932
1008600,995,992,1002,1004,1003,999,997,1004,1004,1003,1003
1008660,1007,1035,1021,1021,1022,1028,1007,1021,1021,1028,1007
1008831,970,977,989,989,989,995,961,989,989,991,961
1008886,1056,1053,954,957,973,948,1049,957,958,958,1049
1008898,1055,1042,999,997,999,996,1058,999,999,991,991
1008899,953,984,989,984,978,950,952,984,984,981,920
1008909,997,985,989,982,989,1001,992,991,991,991,992
1009169,994,999,977,991,1007,1006,999,990,990,993,973
1009206,1000,1001,999,999,992,999,998,999,999,999,989
1009324,995,992,1003,1003,1003,999,995,1003,1003,1000,993
1009355,1051,1026,1052,1054,1089,1064,1003,1053,1050,1055,1003
1009414,995,993,1010,1010,1008,1007,995,1010,1010,1008,995
1009498,995,998,1011,1011,1011,1011,997,1011,1011,1011,997
1009703,999,1001,1005,1005,1006,1005,999,1005,1005,1005,999
1009709,1020,946,998,1002,1001,1045,973,1001,1001,1017,973
1009819,1053,1063,1028,1029,1029,1015,1005,1029,1029,1018,1005
1009823,995,993,985,985,985,986,994,985,985,982,994
1010132,1005,1005,1007,1007,1007,1003,1005,1007,1007,1007,998
1010297,997,1002,999,999,999,999,997,999,999,999,996
1010344,999,1053,1024,1029,1063,1027,1022,1027,1027,1026,865
1010356,1003,995,1005,1024,1019,1026,1002,1024,1024,1025,1025
1010483,994,1017,975,976,974,980,997,974,974,974,974
1010709,962,954,954,939,943,957,955,939,940,942,955
1010811,1017,999,1000,997,999,997,1004,998,998,997,997
1011323,1131,1082,976,989,935,998,1126,985,985,975,709
1011337,1005,991,998,994,995,976,1002,995,995,994,1002
