,OMA_group,tree_Mus,tree_Rattus,tree_Pan,tree_Homo,tree_Gorilla,tree_Macaca,tree_V2,tree_V5,tree_V7,tree_V9,tree_root
0,1000131,0.24472,0.25761,0.25528,0.25532,0.24431,0.25761,0.17706,0.24431,0.24421,0.18448,0.0
1,1000249,0.19751000000000002,0.20723000000000003,0.18997,0.19513,0.20723,0.20511,0.15057,0.18747,0.18189,0.15558,0.0
2,1000358,0.12621000000000002,0.13363,0.13047,0.13054,0.13362,0.13157,0.09921,0.12859,0.12849,0.11834,0.0
3,1000360,0.17518,0.139,0.10883,0.11649999999999999,0.17518,0.12469,0.11426,0.10873,0.10863,0.08588,0.0
4,1000362,0.02572,0.0227,0.02592,0.02592,0.02582,0.02419,0.01871,0.02582,0.02572,0.02223,0.0
5,1000739,0.00486,0.00599,0.0042,0.0042,0.01772,0.004,0.0039,0.0040999999999999995,0.004,0.0039,0.0
6,1000809,0.09961,0.0915,0.09970000000000001,0.059500000000000004,0.06447,0.07805000000000001,0.06962,0.057890000000000004,0.05779,0.05426,0.0
7,1000823,0.07205,0.1122,0.10235,0.10398,0.10226,0.1122,0.04853,0.10073,0.10063,0.08806,0.0
8,1001353,0.19071,0.20318,0.20316,0.20120000000000002,0.19989,0.19005,0.11573,0.19726000000000002,0.19564,0.17005,0.0
9,1002798,0.26095999999999997,0.26108,0.20308,0.20798,0.26108,0.21399,0.16718,0.20086,0.20032,0.17854,0.0
10,1002891,0.19934000000000002,0.17733,0.19064,0.19447,0.1953,0.19933,0.13596,0.1868,0.1867,0.17617,0.0
11,1002933,0.18701,0.20545000000000002,0.19657000000000002,0.19656,0.20208,0.20545000000000002,0.10387,0.19106,0.19096000000000002,0.17055,0.0
12,1003383,0.027839999999999997,0.031209999999999998,0.03135,0.03135,0.03125,0.03121,0.02064,0.03125,0.03115,0.028,0.0
13,1003384,0.00579,0.01576,0.006,0.00445,0.0059,0.00425,0.00415,0.00435,0.00425,0.00415,0.0
14,1003817,0.10883000000000001,0.00839,0.00964,0.10903,0.027019999999999995,0.009439999999999999,0.00829,0.00954,0.009439999999999999,0.00934,0.0
15,1003905,0.12251000000000001,0.10361000000000001,0.1226,0.11487,0.11187,0.10763,0.04515,0.10975,0.10965,0.09732,0.0
16,1004146,0.03178,0.03429,0.03041,0.03213,0.03428,0.02667,0.02088,0.03031,0.03021,0.02657,0.0
17,1004368,0.14642,0.13973,0.14243,0.14594000000000001,0.13963,0.14640999999999998,0.10088,0.13684,0.13368,0.12858,0.0
